sample_a	sample_b	p_value	program_name
sample_D2	sample_D3	6.966590459055156e-25	55
D0	sample_D1	0.004728488753587318	58
D0	sample_D2	2.348560289522768e-147	58
D0	sample_D3	0.0	58
sample_D1	sample_D2	3.4299496539922993e-88	58
sample_D1	sample_D3	4.6241585398125685e-184	58
sample_D2	sample_D3	3.1875380548104156e-09	58
D0	sample_D1	0.541497532625195	59
D0	sample_D2	1.6608849730567974e-31	59
D0	sample_D3	5.327032390567125e-108	59
sample_D1	sample_D2	1.08516715215472e-21	59
sample_D1	sample_D3	4.5101187816857414e-77	59
sample_D2	sample_D3	4.468310896415184e-193	59
